## [BeGaze]
## Date:	15.02.2013 14:09:12
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	25791
## Reversed:	none
## [Run]
## Description:	Run2
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
1026866422	SMP	1	699.47	623.09	00:00:00:02		-
1026928805	SMP	1	698.01	625.93	00:00:00:02		Fixation
1026994340	SMP	1	697.69	626.38	00:00:00:04		Fixation
1027031097	SMP	1	697.12	625.31	00:00:00:05		Fixation
1027094332	SMP	1	695.25	628.93	00:00:00:07		Blink
1027129808	SMP	1	695.43	629.24	00:00:00:08		Blink
1027160908	SMP	1	692.55	633.42	00:00:00:08		Blink
1027227485	SMP	1	0.00	0.00	00:00:00:10		Blink
1027260953	SMP	1	0.00	0.00	00:00:00:11		Blink
1027294101	SMP	1	0.00	0.00	00:00:00:12		Blink
1027327742	SMP	1	0.00	0.00	00:00:00:13		Blink
1027360434	SMP	1	740.33	375.98	00:00:00:13		Blink
1027393663	SMP	1	512.92	418.19	00:00:00:14		Blink
1027427960	SMP	1	513.79	423.99	00:00:00:15		Blink
1027493737	SMP	1	515.28	432.05	00:00:00:17		Blink
1027526908	SMP	1	516.23	437.60	00:00:00:17		Saccade
1027559927	SMP	1	464.70	430.57	00:00:00:18		Saccade
1027593503	SMP	1	448.45	424.11	00:00:00:19		Fixation
1027626532	SMP	1	452.39	427.32	00:00:00:20		Fixation
1027659809	SMP	1	457.91	426.05	00:00:00:20		Saccade
1027693615	SMP	1	458.98	441.01	00:00:00:21		Saccade
1027726365	SMP	1	465.45	439.26	00:00:00:22		Fixation
