## [BeGaze]
## Date:	15.02.2013 14:09:12
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	26095
## Reversed:	none
## [Run]
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
58512193	SMP	1	0.00	0.00	00:00:00:00		Blink
58546433	SMP	1	0.00	0.00	00:00:00:00		Blink
58579435	SMP	1	0.00	0.00	00:00:00:01		Blink
58645917	SMP	1	-448.99	1827.82	00:00:00:03		Blink
58679769	SMP	1	532.21	657.88	00:00:00:04		Blink
58714182	SMP	1	537.53	647.70	00:00:00:05		Blink
58778860	SMP	1	543.19	658.46	00:00:00:06		Blink
58811772	SMP	1	545.90	662.86	00:00:00:07		Fixation
58845155	SMP	1	547.25	666.31	00:00:00:08		Fixation
58878329	SMP	1	490.71	646.64	00:00:00:09		Fixation
58911732	SMP	1	460.28	637.12	00:00:00:09		Fixation
58945084	SMP	1	464.68	637.72	00:00:00:10		Fixation
58978401	SMP	1	470.67	636.22	00:00:00:11		Fixation
59011292	SMP	1	476.36	636.13	00:00:00:12		Fixation
59045451	SMP	1	482.17	637.82	00:00:00:13		Fixation
59111178	SMP	1	486.82	640.38	00:00:00:14		Fixation
59145068	SMP	1	490.75	643.51	00:00:00:15		Fixation
59184475	SMP	1	493.65	644.15	00:00:00:15		Saccade
59211115	SMP	1	560.96	649.87	00:00:00:17		Saccade
59249582	SMP	1	568.13	651.33	00:00:00:17		Saccade
59277855	SMP	1	565.60	648.80	00:00:00:17		Fixation
59313223	SMP	1	564.27	649.60	00:00:00:18		Fixation
59345144	SMP	1	562.17	649.97	00:00:00:19		Fixation
59411106	SMP	1	564.26	646.05	00:00:00:21		Saccade
59444518	SMP	1	696.59	652.04	00:00:00:22		Saccade
59479105	SMP	1	695.27	665.97	00:00:00:23		Fixation
59513218	SMP	1	694.13	660.32	00:00:00:23		Fixation
59577063	SMP	1	691.36	651.66	00:00:01:01		Fixation
59610879	SMP	1	691.14	649.85	00:00:01:02		Fixation
59646704	SMP	1	689.14	648.68	00:00:01:03		Saccade
59711339	SMP	1	532.60	655.37	00:00:01:05		Saccade
59744240	SMP	1	455.80	664.47	00:00:01:05		Saccade
59776738	SMP	1	463.30	661.84	00:00:01:06		Fixation
59809933	SMP	1	465.23	659.20	00:00:01:07		Fixation
59843255	SMP	1	465.00	656.16	00:00:01:08		Fixation
59878921	SMP	1	462.62	655.89	00:00:01:09		Fixation
59943198	SMP	1	466.58	654.33	00:00:01:10		Fixation
