## [BeGaze]
## Date:	15.02.2013 14:09:12
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	26500
## Reversed:	none
## [Run]
## Description:	Run4
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
3176709568	SMP	1	792.40	687.64	00:00:00:00		Fixation
3176742375	SMP	1	792.16	689.45	00:00:00:00		Fixation
3176777785	SMP	1	791.68	685.99	00:00:00:02		Saccade
3176809197	SMP	1	824.08	830.49	00:00:00:02		Saccade
3176876207	SMP	1	829.76	893.43	00:00:00:04		Fixation
3176909162	SMP	1	836.58	884.16	00:00:00:05		Fixation
3176942533	SMP	1	840.59	866.17	00:00:00:05		Fixation
3176975977	SMP	1	846.74	858.79	00:00:00:06		Fixation
3177008624	SMP	1	853.37	850.44	00:00:00:07		Fixation
3177042686	SMP	1	862.73	838.19	00:00:00:08		Fixation
3177075211	SMP	1	836.98	815.01	00:00:00:09		Saccade
3177109751	SMP	1	679.52	748.64	00:00:00:10		Saccade
3177142670	SMP	1	677.79	739.01	00:00:00:10		Fixation
3177175735	SMP	1	693.27	739.73	00:00:00:11		Fixation
3177208139	SMP	1	709.23	738.18	00:00:00:12		Fixation
3177242072	SMP	1	723.14	741.11	00:00:00:13		Fixation
3177274844	SMP	1	737.93	737.40	00:00:00:13		Fixation
3177307873	SMP	1	747.52	734.89	00:00:00:14		Fixation
3177341445	SMP	1	754.98	727.35	00:00:00:15		Blink
3177374556	SMP	1	758.15	725.85	00:00:00:15		Blink
3177408369	SMP	1	765.01	715.36	00:00:00:16		Blink
3177442225	SMP	1	768.82	707.77	00:00:00:17		Blink
3177475112	SMP	1	371.74	5663.46	00:00:00:18		Blink
3177507840	SMP	1	0.00	0.00	00:00:00:19		Blink
3177541348	SMP	1	0.00	0.00	00:00:00:20		Blink
3177607670	SMP	1	621.43	679.69	00:00:00:21		Blink
3177640906	SMP	1	622.46	694.80	00:00:00:22		Blink
3177674248	SMP	1	626.87	703.92	00:00:00:23		Blink
3177707787	SMP	1	564.69	629.62	00:00:01:00		Blink
3177773945	SMP	1	513.86	567.20	00:00:01:01		Fixation
3177807314	SMP	1	525.51	571.84	00:00:01:02		Fixation
3177841134	SMP	1	535.91	579.75	00:00:01:03		Fixation
3177873772	SMP	1	546.95	582.11	00:00:01:04		Fixation
3177908228	SMP	1	554.70	596.31	00:00:01:05		Fixation
3177940839	SMP	1	560.04	589.28	00:00:01:06		Fixation
3177973734	SMP	1	571.51	592.13	00:00:01:06		Fixation
3178007000	SMP	1	590.88	584.78	00:00:01:07		Fixation
3178040197	SMP	1	637.30	730.43	00:00:01:08		Blink
3178074030	SMP	1	663.85	887.72	00:00:01:08		Blink
3178107446	SMP	1	695.32	819.69	00:00:01:09		Blink
3178140807	SMP	1	693.46	791.31	00:00:01:10		Saccade
3178173840	SMP	1	688.12	762.58	00:00:01:11		Saccade
3178206912	SMP	1	684.76	742.82	00:00:01:11		Fixation
3178240028	SMP	1	682.27	737.60	00:00:01:12		Fixation
3178274328	SMP	1	680.51	741.15	00:00:01:13		Fixation
3178306362	SMP	1	681.51	747.24	00:00:01:14		Fixation
3178339779	SMP	1	681.58	751.45	00:00:01:15		Fixation
3178373486	SMP	1	679.50	756.76	00:00:01:16		Saccade
3178406214	SMP	1	674.52	766.75	00:00:01:17		Saccade
3178439615	SMP	1	668.16	767.78	00:00:01:18		Saccade
3178472716	SMP	1	668.67	764.29	00:00:01:18		Saccade
3178506521	SMP	1	827.48	932.61	00:00:01:19		Saccade
3178539402	SMP	1	836.37	911.51	00:00:01:20		Saccade
3178572376	SMP	1	832.51	883.35	00:00:01:21		Fixation
3178605631	SMP	1	829.61	868.98	00:00:01:21		Fixation
3178639182	SMP	1	827.59	853.27	00:00:01:22		Fixation
3178672369	SMP	1	830.43	837.95	00:00:01:23		Fixation
3178706835	SMP	1	833.25	820.30	00:00:02:00		Fixation
3178739226	SMP	1	836.92	803.55	00:00:02:01		Fixation
3178772752	SMP	1	837.78	797.15	00:00:02:01		Fixation
3178805331	SMP	1	839.48	792.57	00:00:02:02		Fixation
3178839098	SMP	1	842.64	798.77	00:00:02:03		Blink
3178872873	SMP	1	845.21	813.71	00:00:02:04		Blink
3178905321	SMP	1	847.52	827.44	00:00:02:04		Blink
3178938486	SMP	1	1267.31	20.93	00:00:02:05		Blink
3178972105	SMP	1	0.00	0.00	00:00:02:06		Blink
3179038268	SMP	1	0.00	0.00	00:00:02:07		Blink
3179071584	SMP	1	834.77	597.29	00:00:02:08		Blink
3179105452	SMP	1	840.30	577.53	00:00:02:09		Blink
3179138349	SMP	1	843.78	600.89	00:00:02:10		Blink
3179172074	SMP	1	846.52	604.56	00:00:02:11		Blink
3179205496	SMP	1	846.51	614.49	00:00:02:12		Fixation
3179238401	SMP	1	847.18	619.84	00:00:02:12		Fixation
3179271756	SMP	1	847.33	622.26	00:00:02:13		Fixation
3179305311	SMP	1	846.65	626.73	00:00:02:14		Saccade
3179337971	SMP	1	843.19	635.07	00:00:02:15		Saccade
3179372189	SMP	1	844.61	632.37	00:00:02:16		Saccade
3179405442	SMP	1	893.73	567.93	00:00:02:16		Saccade
3179437877	SMP	1	892.32	564.19	00:00:02:17		Fixation
3179471210	SMP	1	887.91	568.66	00:00:02:18		Fixation
3179504312	SMP	1	884.85	575.25	00:00:02:19		Fixation
3179538142	SMP	1	882.40	579.35	00:00:02:20		Fixation
3179571656	SMP	1	875.95	581.56	00:00:02:20		Fixation
3179637994	SMP	1	875.60	580.30	00:00:02:22		Fixation
3179670999	SMP	1	875.08	585.62	00:00:02:23		Fixation
3179703876	SMP	1	880.63	591.53	00:00:03:00		Fixation
3179737082	SMP	1	886.70	598.69	00:00:03:00		Fixation
3179770615	SMP	1	894.02	604.06	00:00:03:01		Fixation
3179804498	SMP	1	902.29	608.94	00:00:03:02		Fixation
3179837140	SMP	1	908.85	607.84	00:00:03:03		Fixation
3179870112	SMP	1	910.19	612.32	00:00:03:03		Fixation
3179903585	SMP	1	911.94	613.05	00:00:03:04		Fixation
3179937045	SMP	1	913.89	610.40	00:00:03:05		Fixation
3179971081	SMP	1	913.23	612.30	00:00:03:06		Fixation
3180003637	SMP	1	914.42	609.71	00:00:03:07		Saccade
3180036876	SMP	1	916.09	622.01	00:00:03:08		Saccade
3180069866	SMP	1	920.84	622.37	00:00:03:08		Saccade
3180103337	SMP	1	823.78	643.44	00:00:03:09		Blink
3180136741	SMP	1	655.32	677.02	00:00:03:10		Blink
3180169774	SMP	1	664.46	656.64	00:00:03:11		Blink
3180202999	SMP	1	673.32	649.45	00:00:03:12		Blink
3180236791	SMP	1	407.43	5478.93	00:00:03:12		Blink
3180269571	SMP	1	0.00	0.00	00:00:03:13		Blink
3180302888	SMP	1	0.00	0.00	00:00:03:14		Blink
3180336589	SMP	1	619.19	4596.46	00:00:03:15		Blink
3180369648	SMP	1	616.17	703.16	00:00:03:16		Blink
3180402720	SMP	1	629.57	678.88	00:00:03:17		Blink
3180436000	SMP	1	642.37	674.21	00:00:03:17		Blink
3180469244	SMP	1	652.39	671.76	00:00:03:18		Blink
3180503580	SMP	1	661.27	673.66	00:00:03:19		Blink
3180536151	SMP	1	665.14	638.52	00:00:03:20		Saccade
3180569194	SMP	1	675.82	505.58	00:00:03:20		Saccade
3180602348	SMP	1	680.87	506.60	00:00:03:21		Saccade
3180635979	SMP	1	684.59	514.56	00:00:03:22		Fixation
3180669013	SMP	1	686.36	516.40	00:00:03:23		Fixation
3180702157	SMP	1	686.73	521.24	00:00:03:23		Fixation
3180735427	SMP	1	684.90	524.42	00:00:04:00		Fixation
3180768814	SMP	1	680.38	529.02	00:00:04:01		Blink
3180802555	SMP	1	675.79	533.59	00:00:04:02		Blink
3180835783	SMP	1	672.36	539.10	00:00:04:03		Blink
3180872936	SMP	1	667.96	542.36	00:00:04:04		Blink
3180902535	SMP	1	696.07	451.59	00:00:04:04		Blink
3180935117	SMP	1	0.00	0.00	00:00:04:05		Blink
3180968432	SMP	1	0.00	0.00	00:00:04:06		Blink
3181001819	SMP	1	797.10	10122.82	00:00:04:07		Blink
3181035414	SMP	1	865.24	4941.72	00:00:04:08		Blink
3181068766	SMP	1	928.66	814.87	00:00:04:08		Blink
3181101509	SMP	1	922.34	796.87	00:00:04:09		Blink
3181135125	SMP	1	917.84	796.67	00:00:04:10		Blink
3181168750	SMP	1	912.28	789.33	00:00:04:11		Blink
3181201199	SMP	1	910.31	784.61	00:00:04:11		Fixation
3181234732	SMP	1	908.99	780.95	00:00:04:12		Fixation
3181267634	SMP	1	907.39	777.11	00:00:04:13		Fixation
3181301067	SMP	1	905.54	773.23	00:00:04:14		Fixation
3181335887	SMP	1	903.59	772.42	00:00:04:15		Fixation
3181367593	SMP	1	900.55	768.59	00:00:04:16		Fixation
3181401306	SMP	1	899.71	766.80	00:00:04:16		Fixation
3181434412	SMP	1	898.80	762.39	00:00:04:17		Saccade
3181467746	SMP	1	830.28	815.83	00:00:04:18		Saccade
3181500834	SMP	1	780.10	849.75	00:00:04:19		Fixation
3181533914	SMP	1	784.81	841.45	00:00:04:19		Fixation
3181567285	SMP	1	790.91	832.34	00:00:04:20		Fixation
3181601091	SMP	1	796.30	825.83	00:00:04:21		Fixation
3181634170	SMP	1	802.86	817.06	00:00:04:22		Fixation
3181667449	SMP	1	812.55	808.85	00:00:04:23		Fixation
3181700427	SMP	1	752.26	864.35	00:00:05:00		Fixation
3181734512	SMP	1	571.83	970.06	00:00:05:00		-
3181766946	SMP	1	583.65	967.42	00:00:05:01		-
3181800398	SMP	1	593.62	964.42	00:00:05:02		-
3181833852	SMP	1	600.09	962.90	00:00:05:03		-
3181866716	SMP	1	604.46	961.93	00:00:05:03		-
3181900009	SMP	1	606.86	954.65	00:00:05:04		-
3181933235	SMP	1	609.56	949.57	00:00:05:05		Fixation
3181967782	SMP	1	609.08	952.04	00:00:05:06		Fixation
3182000093	SMP	1	608.56	948.93	00:00:05:07		Fixation
3182033052	SMP	1	597.69	969.15	00:00:05:07		Fixation
3182066413	SMP	1	587.25	989.06	00:00:05:08		-
3182099828	SMP	1	588.02	985.53	00:00:05:09		-
3182133080	SMP	1	590.04	987.29	00:00:05:10		-
3182166367	SMP	1	590.33	986.67	00:00:05:11		Blink
3182199750	SMP	1	590.16	988.31	00:00:05:11		Blink
3182232941	SMP	1	600.96	979.57	00:00:05:12		Blink
3182266133	SMP	1	736.91	854.70	00:00:05:13		Blink
3182299764	SMP	1	1108.46	3465.11	00:00:05:14		Blink
3182366350	SMP	1	0.00	0.00	00:00:05:15		Blink
3182399176	SMP	1	0.00	0.00	00:00:05:16		Blink
3182432605	SMP	1	892.40	8756.21	00:00:05:17		Blink
3182467054	SMP	1	929.86	703.32	00:00:05:17		Blink
3182503637	SMP	1	923.92	685.49	00:00:05:17		Blink
3182538940	SMP	1	918.31	701.16	00:00:05:19		Blink
3182609391	SMP	1	905.39	717.21	00:00:05:22		Blink
3182668719	SMP	1	896.68	735.12	00:00:05:23		Saccade
3182699289	SMP	1	894.78	751.04	00:00:06:00		Saccade
3182731912	SMP	1	891.15	756.60	00:00:06:00		Saccade
3182765551	SMP	1	815.24	689.53	00:00:06:01		Saccade
3182798799	SMP	1	690.29	643.67	00:00:06:02		Saccade
3182832013	SMP	1	689.44	651.08	00:00:06:03		Fixation
3182866204	SMP	1	687.34	654.71	00:00:06:04		Fixation
3182898965	SMP	1	686.27	659.78	00:00:06:04		Saccade
3182964695	SMP	1	607.66	652.94	00:00:06:06		Saccade
3182998185	SMP	1	614.61	653.40	00:00:06:07		Saccade
3183031493	SMP	1	624.37	662.64	00:00:06:07		Fixation
3183064678	SMP	1	628.91	665.74	00:00:06:08		Fixation
3183097996	SMP	1	636.13	670.54	00:00:06:09		Fixation
3183131423	SMP	1	643.30	674.51	00:00:06:10		Fixation
3183164446	SMP	1	648.49	677.00	00:00:06:11		Fixation
3183197775	SMP	1	654.17	677.66	00:00:06:11		Fixation
3183231069	SMP	1	658.85	680.84	00:00:06:12		Fixation
3183264518	SMP	1	659.81	682.45	00:00:06:13		Fixation
3183298070	SMP	1	660.12	680.49	00:00:06:14		Fixation
3183331536	SMP	1	657.41	685.77	00:00:06:15		Fixation
3183364416	SMP	1	663.75	684.60	00:00:06:15		Saccade
3183398300	SMP	1	679.56	674.40	00:00:06:16		Saccade
3183431406	SMP	1	677.75	673.18	00:00:06:17		Blink
3183464736	SMP	1	673.51	671.65	00:00:06:18		Blink
3183497457	SMP	1	857.47	689.25	00:00:06:19		Blink
3183531290	SMP	1	1066.75	686.04	00:00:06:19		Blink
3183564294	SMP	1	969.35	712.83	00:00:06:20		Blink
3183597155	SMP	1	954.41	704.97	00:00:06:21		Blink
3183630637	SMP	1	941.65	703.19	00:00:06:22		Blink
3183664069	SMP	1	932.08	703.65	00:00:06:22		Fixation
3183697111	SMP	1	926.13	703.65	00:00:06:23		Fixation
3183730921	SMP	1	915.17	709.55	00:00:07:01		Saccade
3183763917	SMP	1	789.39	814.67	00:00:07:01		Saccade
3183797108	SMP	1	786.82	815.16	00:00:07:02		Fixation
3183830440	SMP	1	796.20	817.13	00:00:07:03		Fixation
3183863300	SMP	1	807.12	823.31	00:00:07:03		Fixation
3183896788	SMP	1	817.99	824.97	00:00:07:04		Fixation
3183930768	SMP	1	825.05	824.62	00:00:07:05		Fixation
3183963801	SMP	1	828.75	822.77	00:00:07:06		Fixation
3183996596	SMP	1	830.09	817.25	00:00:07:07		Saccade
3184029634	SMP	1	836.13	673.98	00:00:07:07		Saccade
3184062957	SMP	1	840.51	652.59	00:00:07:08		Fixation
3184096188	SMP	1	842.91	650.12	00:00:07:09		Fixation
3184163916	SMP	1	850.56	652.10	00:00:07:11		Fixation
3184196125	SMP	1	852.97	654.10	00:00:07:11		Fixation
3184229453	SMP	1	856.79	655.50	00:00:07:12		Fixation
3184262935	SMP	1	859.64	655.72	00:00:07:13		Fixation
3184296311	SMP	1	861.90	656.98	00:00:07:14		Fixation
3184329561	SMP	1	864.30	660.37	00:00:07:15		Fixation
3184363481	SMP	1	863.70	659.03	00:00:07:15		Fixation
3184395793	SMP	1	721.01	685.90	00:00:07:16		Blink
3184429407	SMP	1	708.25	688.87	00:00:07:17		Blink
3184462660	SMP	1	715.60	686.63	00:00:07:18		Blink
3184496061	SMP	1	719.52	690.21	00:00:07:18		Blink
3184529002	SMP	1	0.00	0.00	00:00:07:19		Blink
3184563599	SMP	1	0.00	0.00	00:00:07:21		Blink
3184595977	SMP	1	704.07	704.91	00:00:07:21		Blink
3184628556	SMP	1	706.81	677.52	00:00:07:22		Blink
3184662636	SMP	1	708.48	676.68	00:00:07:23		Blink
3184695169	SMP	1	709.37	679.03	00:00:07:23		Blink
3184728417	SMP	1	709.23	682.36	00:00:08:00		Fixation
3184762380	SMP	1	710.60	681.16	00:00:08:01		Fixation
3184795956	SMP	1	711.68	681.84	00:00:08:02		Fixation
3184861812	SMP	1	714.34	682.47	00:00:08:03		Saccade
3184895271	SMP	1	830.07	688.46	00:00:08:03		Saccade
3184928527	SMP	1	854.42	685.55	00:00:08:05		Fixation
3184961575	SMP	1	854.14	687.05	00:00:08:06		Fixation
3184997003	SMP	1	853.28	686.67	00:00:08:07		Fixation
3185028269	SMP	1	851.14	686.21	00:00:08:07		Fixation
3185061507	SMP	1	850.90	684.85	00:00:08:08		Fixation
3185094872	SMP	1	848.26	682.98	00:00:08:09		Saccade
3185128288	SMP	1	921.64	681.33	00:00:08:10		Saccade
3185161128	SMP	1	927.17	679.25	00:00:08:11		Fixation
3185194299	SMP	1	922.84	676.90	00:00:08:11		Fixation
3185227798	SMP	1	919.85	674.53	00:00:08:12		Fixation
3185260935	SMP	1	918.07	669.11	00:00:08:13		Fixation
3185294231	SMP	1	913.94	665.33	00:00:08:14		Saccade
3185327464	SMP	1	991.73	671.16	00:00:08:14		Saccade
3185360926	SMP	1	1068.99	669.86	00:00:08:15		Fixation
3185394000	SMP	1	1062.10	660.78	00:00:08:16		Fixation
3185427362	SMP	1	1054.82	653.11	00:00:08:17		Fixation
3185460606	SMP	1	1049.36	644.87	00:00:08:18		Fixation
3185493850	SMP	1	1040.27	641.21	00:00:08:19		Fixation
3185527289	SMP	1	1040.70	643.09	00:00:08:19		Fixation
3185560583	SMP	1	1040.26	642.35	00:00:08:20		Fixation
3185594043	SMP	1	1035.75	636.42	00:00:08:21		Fixation
3185627057	SMP	1	1031.10	630.23	00:00:08:22		Fixation
3185660167	SMP	1	1027.89	683.95	00:00:08:22		Saccade
3185693317	SMP	1	983.79	846.17	00:00:08:23		Saccade
3185727195	SMP	1	978.40	831.52	00:00:08:23		Blink
3185760329	SMP	1	974.72	815.85	00:00:09:01		Blink
3185795596	SMP	1	970.34	802.11	00:00:09:02		Blink
3185827564	SMP	1	964.82	786.47	00:00:09:03		Blink
3185860949	SMP	1	883.61	8661.50	00:00:09:03		Blink
3185926402	SMP	1	276.80	1358.62	00:00:09:05		Blink
3185961367	SMP	1	833.24	875.85	00:00:09:06		Blink
3185992949	SMP	1	826.69	830.00	00:00:09:07		Blink
