## [BeGaze]
## Date:	15.02.2013 14:09:12
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	26854
## Reversed:	none
## [Run]
## Description:	Run3
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
2310900062	SMP	1	690.28	642.86	00:00:00:01		Fixation
2310932863	SMP	1	693.57	635.22	00:00:00:02		Fixation
2310999916	SMP	1	749.74	585.97	00:00:00:03		Fixation
2311032863	SMP	1	760.07	575.37	00:00:00:04		Fixation
2311066474	SMP	1	767.25	568.15	00:00:00:05		Fixation
2311099384	SMP	1	772.25	566.17	00:00:00:06		Fixation
2311132439	SMP	1	773.64	562.00	00:00:00:07		Fixation
2311165715	SMP	1	769.05	555.45	00:00:00:08		Saccade
2311199049	SMP	1	762.81	548.53	00:00:00:09		Saccade
2311232386	SMP	1	762.38	541.96	00:00:00:10		Fixation
2311266663	SMP	1	767.55	539.36	00:00:00:10		Fixation
2311299278	SMP	1	789.91	507.33	00:00:00:11		Fixation
2311331958	SMP	1	782.44	511.24	00:00:00:12		Fixation
2311365393	SMP	1	777.95	521.28	00:00:00:13		Blink
2311398816	SMP	1	774.80	531.15	00:00:00:13		Blink
2311432147	SMP	1	778.03	539.24	00:00:00:14		Blink
2311465175	SMP	1	783.57	561.65	00:00:00:15		Blink
2311498842	SMP	1	643.80	582.94	00:00:00:15		Blink
2311531755	SMP	1	476.58	658.74	00:00:00:17		Blink
2311566254	SMP	1	473.48	667.94	00:00:00:18		Blink
2311598718	SMP	1	472.43	596.18	00:00:00:18		Blink
2311631680	SMP	1	456.33	550.66	00:00:00:19		Blink
2311665240	SMP	1	459.45	537.48	00:00:00:20		Blink
2311698279	SMP	1	450.02	524.38	00:00:00:20		Blink
2311731326	SMP	1	439.96	515.38	00:00:00:21		Saccade
2311764973	SMP	1	445.16	498.22	00:00:00:22		Saccade
2311798000	SMP	1	439.66	490.11	00:00:00:23		Fixation
2311831121	SMP	1	453.80	491.28	00:00:01:00		Fixation
2311864792	SMP	1	456.23	490.49	00:00:01:00		Fixation
2311897785	SMP	1	469.43	615.33	00:00:01:01		Saccade
2311933244	SMP	1	494.39	908.76	00:00:01:02		Saccade
2311964480	SMP	1	509.03	889.13	00:00:01:03		Fixation
2311998292	SMP	1	517.36	868.35	00:00:01:04		Fixation
2312031851	SMP	1	524.69	850.84	00:00:01:05		Fixation
2312065372	SMP	1	527.05	847.30	00:00:01:06		Fixation
2312099115	SMP	1	533.39	843.85	00:00:01:06		Saccade
2312131379	SMP	1	630.55	860.28	00:00:01:07		Saccade
2312164028	SMP	1	647.25	849.97	00:00:01:08		Saccade
2312197610	SMP	1	646.28	851.59	00:00:01:09		Blink
2312231022	SMP	1	647.33	847.45	00:00:01:09		Blink
2312263761	SMP	1	644.05	845.26	00:00:01:10		Blink
2312298065	SMP	1	645.80	839.14	00:00:01:11		Blink
2312330510	SMP	1	635.79	705.43	00:00:01:12		Blink
2312364056	SMP	1	183.22	943.81	00:00:01:13		Blink
2312398645	SMP	1	367.57	829.46	00:00:01:14		Blink
2312430156	SMP	1	632.74	446.44	00:00:01:14		Blink
2312463414	SMP	1	633.96	454.61	00:00:01:15		Blink
2312496607	SMP	1	633.60	458.62	00:00:01:16		Blink
2312529983	SMP	1	631.84	458.58	00:00:01:16		Blink
2312563330	SMP	1	630.34	464.11	00:00:01:17		Fixation
2312597018	SMP	1	629.53	467.64	00:00:01:18		Fixation
2312629892	SMP	1	628.91	472.52	00:00:01:19		Fixation
2312663697	SMP	1	625.54	480.76	00:00:01:20		Fixation
2312696878	SMP	1	621.34	489.11	00:00:01:20		Fixation
2312729884	SMP	1	617.99	494.92	00:00:01:21		Fixation
2312763296	SMP	1	605.64	498.67	00:00:01:22		Saccade
2312796231	SMP	1	589.30	502.29	00:00:01:23		Saccade
2312829969	SMP	1	589.80	506.83	00:00:02:00		Fixation
2312862945	SMP	1	590.55	508.64	00:00:02:01		Fixation
2312896292	SMP	1	592.40	476.65	00:00:02:01		Fixation
2312929092	SMP	1	592.97	479.59	00:00:02:02		Fixation
2312962739	SMP	1	595.77	481.91	00:00:02:03		Fixation
2312995937	SMP	1	596.60	484.67	00:00:02:04		Fixation
2313029671	SMP	1	597.55	488.09	00:00:02:05		Fixation
2313062253	SMP	1	596.39	492.53	00:00:02:05		Fixation
2313096101	SMP	1	593.79	497.07	00:00:02:06		Fixation
2313129460	SMP	1	591.57	499.36	00:00:02:07		Fixation
2313163315	SMP	1	589.23	502.00	00:00:02:08		Saccade
2313196331	SMP	1	579.93	505.26	00:00:02:09		Saccade
2313229034	SMP	1	580.90	502.37	00:00:02:10		Fixation
2313262434	SMP	1	583.02	500.43	00:00:02:10		Fixation
2313295361	SMP	1	586.03	499.81	00:00:02:11		Fixation
2313328555	SMP	1	588.71	498.94	00:00:02:12		Fixation
2313361909	SMP	1	589.49	498.71	00:00:02:12		Saccade
2313395028	SMP	1	587.80	481.56	00:00:02:13		Saccade
2313429136	SMP	1	590.34	480.39	00:00:02:14		Fixation
2313462004	SMP	1	591.22	481.31	00:00:02:15		Fixation
2313495040	SMP	1	592.13	482.02	00:00:02:15		Fixation
2313528510	SMP	1	590.93	481.92	00:00:02:16		Fixation
2313561808	SMP	1	589.08	482.31	00:00:02:17		Saccade
2313595677	SMP	1	587.59	481.36	00:00:02:18		Saccade
2313628006	SMP	1	606.51	497.98	00:00:02:19		Saccade
2313662184	SMP	1	607.95	497.05	00:00:02:20		Saccade
2313695373	SMP	1	608.66	493.49	00:00:02:21		Fixation
2313728124	SMP	1	607.89	491.76	00:00:02:21		Fixation
2313762049	SMP	1	606.88	490.67	00:00:02:22		Fixation
2313794754	SMP	1	605.07	488.83	00:00:02:23		Fixation
2313827728	SMP	1	604.94	488.53	00:00:03:00		Saccade
2313860840	SMP	1	593.54	614.88	00:00:03:01		Saccade
2313895123	SMP	1	587.11	664.58	00:00:03:01		Saccade
2313928056	SMP	1	586.80	657.84	00:00:03:02		Fixation
2313960950	SMP	1	588.37	651.95	00:00:03:03		Fixation
2313994023	SMP	1	589.17	647.09	00:00:03:04		Fixation
2314028516	SMP	1	590.33	644.13	00:00:03:05		Fixation
2314060872	SMP	1	591.02	642.89	00:00:03:05		Fixation
2314093942	SMP	1	589.45	642.08	00:00:03:06		Fixation
2314127103	SMP	1	587.18	640.13	00:00:03:07		Fixation
2314160996	SMP	1	585.26	640.05	00:00:03:08		Fixation
2314193812	SMP	1	582.51	639.74	00:00:03:08		Fixation
2314227140	SMP	1	581.89	639.98	00:00:03:09		Fixation
2314260597	SMP	1	581.62	638.60	00:00:03:10		Saccade
2314293520	SMP	1	587.72	655.82	00:00:03:11		Saccade
2314326740	SMP	1	586.44	653.88	00:00:03:11		Fixation
2314360310	SMP	1	585.13	649.64	00:00:03:12		Fixation
2314394027	SMP	1	583.81	651.12	00:00:03:13		Fixation
2314427279	SMP	1	585.68	646.42	00:00:03:14		Saccade
2314459886	SMP	1	633.60	650.25	00:00:03:15		Saccade
2314493142	SMP	1	636.40	644.83	00:00:03:16		Saccade
2314526717	SMP	1	635.88	642.65	00:00:03:17		Blink
2314560398	SMP	1	635.74	640.85	00:00:03:17		Blink
2314593496	SMP	1	634.60	638.64	00:00:03:18		Blink
2314626721	SMP	1	634.84	636.46	00:00:03:19		Blink
2314660385	SMP	1	647.22	630.96	00:00:03:20		Blink
2314693087	SMP	1	0.00	0.00	00:00:03:20		Blink
2314725976	SMP	1	146.79	857.71	00:00:03:21		Blink
2314760553	SMP	1	587.85	529.86	00:00:03:22		Blink
2314793185	SMP	1	586.00	481.91	00:00:03:23		Blink
