## [BeGaze]
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	26747
## Reversed:	none
## [Run]
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
5353145187	SMP	1	698.19	549.68	00:00:00:00		Saccade
5353176446	SMP	1	709.13	537.78	00:00:00:01		Saccade
5353211115	SMP	1	716.92	551.58	00:00:00:02		Fixation
5353243854	SMP	1	712.30	545.31	00:00:00:03		Fixation
5353277339	SMP	1	713.07	545.78	00:00:00:04		Fixation
5353309635	SMP	1	708.57	540.31	00:00:00:04		Fixation
5353343607	SMP	1	709.42	542.22	00:00:00:05		Fixation
5353376606	SMP	1	700.50	552.90	00:00:00:06		Saccade
5353410462	SMP	1	710.63	571.71	00:00:00:06		Saccade
5353442518	SMP	1	717.46	561.15	00:00:00:07		Saccade
5353476271	SMP	1	721.15	566.93	00:00:00:08		Blink
5353509132	SMP	1	696.05	828.47	00:00:00:09		Blink
5353542657	SMP	1	717.97	556.74	00:00:00:10		Blink
5353576636	SMP	1	723.43	566.77	00:00:00:11		Fixation
5353609207	SMP	1	723.65	567.13	00:00:00:12		Fixation
5353642449	SMP	1	719.46	559.82	00:00:00:12		Fixation
5353675445	SMP	1	699.16	544.44	00:00:00:13		Saccade
5353708870	SMP	1	669.37	477.41	00:00:00:14		Saccade
5353742446	SMP	1	686.68	495.26	00:00:00:15		Fixation
5353775790	SMP	1	693.51	498.69	00:00:00:15		Fixation
5353809090	SMP	1	704.02	502.63	00:00:00:16		Saccade
5353841867	SMP	1	668.67	471.64	00:00:00:17		Saccade
5353875170	SMP	1	693.93	489.02	00:00:00:18		Saccade
5353908795	SMP	1	693.90	492.94	00:00:00:18		Saccade
5353941685	SMP	1	727.12	565.62	00:00:00:19		Saccade
5353975058	SMP	1	698.40	513.62	00:00:00:20		Saccade
5354008336	SMP	1	693.49	503.76	00:00:00:21		Blink
5354041769	SMP	1	696.76	511.00	00:00:00:22		Blink
5354075072	SMP	1	718.84	559.79	00:00:00:23		Blink
5354108026	SMP	1	702.79	510.00	00:00:01:00		Blink
5354141328	SMP	1	765.67	695.70	00:00:01:00		Blink
5354174684	SMP	1	0.00	0.00	00:00:01:01		Blink
