## [BeGaze]
## Date:	01.01.0001 00:00:00
## Version:	BeGaze 3.2.28
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	34281
## Reversed:	none
## [Run]
## Description:	Run2
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
6645990558	SMP	1	1533.89	286.61	00:00:00:00		-
6646022412	SMP	1	1406.49	347.00	00:00:00:00		-
6646053927	SMP	1	1407.36	339.15	00:00:00:01		-
6646087331	SMP	1	1335.64	290.37	00:00:00:02		-
6646120847	SMP	1	1403.28	335.39	00:00:00:03		-
6646154895	SMP	1	1449.74	285.52	00:00:00:04		-
6646187297	SMP	1	0.00	0.00	00:00:00:04		-
6646220750	SMP	1	0.00	0.00	00:00:00:05		-
6646253602	SMP	1	592.59	508.36	00:00:00:06		Fixation
6646286802	SMP	1	589.74	575.03	00:00:00:06		Fixation
6646320375	SMP	1	590.81	586.90	00:00:00:08		Fixation
6646361089	SMP	1	597.59	605.05	00:00:00:09		-
6646391359	SMP	1	600.19	1483.31	00:00:00:09		-
6646420997	SMP	1	0.00	0.00	00:00:00:10		-
6646453848	SMP	1	329.44	1034.81	00:00:00:10		-
6646486320	SMP	1	567.89	590.40	00:00:00:11		Fixation
6646520017	SMP	1	568.30	593.01	00:00:00:12		Fixation
6646553870	SMP	1	576.29	591.31	00:00:00:13		Fixation
6646586239	SMP	1	581.56	590.65	00:00:00:14		Fixation
6646619528	SMP	1	571.68	596.38	00:00:00:14		-
6646653377	SMP	1	0.00	0.00	00:00:00:15		-
6646686472	SMP	1	1289.14	-106.93	00:00:00:16		-
6646719413	SMP	1	527.51	643.90	00:00:00:17		Fixation
6646752857	SMP	1	539.84	615.69	00:00:00:18		Fixation
6646786457	SMP	1	538.90	603.68	00:00:00:19		Fixation
6646819349	SMP	1	546.92	612.23	00:00:00:20		Fixation
6646852939	SMP	1	547.40	598.55	00:00:00:20		-
6646885793	SMP	1	1310.60	-427.50	00:00:00:21		-
6646919378	SMP	1	95.77	1392.96	00:00:00:22		-
6646952422	SMP	1	780.22	620.25	00:00:00:23		Fixation
6646985653	SMP	1	541.49	623.20	00:00:01:00		Fixation
6647018908	SMP	1	539.37	614.73	00:00:01:00		Fixation
6647052166	SMP	1	539.70	609.44	00:00:01:01		Fixation
6647085936	SMP	1	538.43	607.66	00:00:01:02		-
6647119353	SMP	1	949.49	-699.32	00:00:01:03		-
6647152058	SMP	1	1089.75	1346.87	00:00:01:04		-
6647185543	SMP	1	1065.30	295.68	00:00:01:05		-
6647218524	SMP	1	495.96	609.92	00:00:01:05		-
6647251709	SMP	1	496.91	583.83	00:00:01:06		Fixation
6647285115	SMP	1	495.57	572.48	00:00:01:06		Fixation
6647318550	SMP	1	502.18	581.45	00:00:01:07		Fixation
6647351601	SMP	1	500.97	584.17	00:00:01:08		Fixation
6647384974	SMP	1	499.29	584.06	00:00:01:09		Fixation
6647418578	SMP	1	491.42	572.99	00:00:01:10		Fixation
6647451530	SMP	1	491.58	570.24	00:00:01:10		Fixation
6647484883	SMP	1	490.81	569.15	00:00:01:11		Saccade
6647518201	SMP	1	590.05	643.70	00:00:01:12		Saccade
6647551775	SMP	1	658.49	687.41	00:00:01:13		Saccade
6647584628	SMP	1	652.38	679.68	00:00:01:14		Fixation
6647617923	SMP	1	650.02	676.87	00:00:01:15		Fixation
6647651184	SMP	1	648.99	671.01	00:00:01:15		Fixation
6647684349	SMP	1	648.89	666.79	00:00:01:16		Fixation
6647717672	SMP	1	647.36	663.61	00:00:01:17		Fixation
6647751167	SMP	1	646.96	659.51	00:00:01:18		Saccade
6647784155	SMP	1	545.14	657.07	00:00:01:19		Saccade
6647817424	SMP	1	515.83	646.05	00:00:01:19		Saccade
6647851125	SMP	1	520.49	643.66	00:00:01:20		Fixation
6647884034	SMP	1	521.08	641.22	00:00:01:21		Fixation
6647917250	SMP	1	522.40	637.37	00:00:01:22		Fixation
6647950654	SMP	1	523.51	636.24	00:00:01:22		Fixation
6647983959	SMP	1	525.15	634.51	00:00:01:23		Fixation
6648017114	SMP	1	528.39	633.38	00:00:02:00		Saccade
6648054453	SMP	1	541.50	620.76	00:00:02:01		Saccade
6648085668	SMP	1	540.01	620.40	00:00:02:02		Fixation
6648117043	SMP	1	540.60	619.49	00:00:02:02		Fixation
6648150254	SMP	1	541.77	618.72	00:00:02:03		Fixation
6648183451	SMP	1	540.98	620.21	00:00:02:04		Fixation
